"Manage Checkout Fields","Manage Checkout Fields"
"Enabled Checkout Fields","Enabled Checkout Fields"
"Disabled Checkout Fields","Disabled Checkout Fields"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"If you want to perfrom a more complex configuration and need to have an advanced control over your order attributes, go to the settings page of Amasty Order Attributes module by clicking <a target='_blank' href='%1'>here</a>.","If you want to perfrom a more complex configuration and need to have an advanced control over your order attributes, go to the settings page of Amasty Order Attributes module by clicking <a target='_blank' href='%1'>here</a>."
"If you need a wider range of configurable attributes available for you to customize and fine-tune your checkout page, please get our extension 'Order Attributes'. Learn more <a target='_blank' href='%1'>here</a>.","If you need a wider range of configurable attributes available for you to customize and fine-tune your checkout page, please get our extension 'Order Attributes'. Learn more <a target='_blank' href='%1'>here</a>."
Installed,Installed
"Not Installed","Not Installed"
"Gift wrap %1","Gift wrap %1"
"Gift Wrap","Gift Wrap"
"Delivery Date","Delivery Date"
"Delivery Time","Delivery Time"
"Delivery Comment","Delivery Comment"
System,System
"One Step Checkout","One Step Checkout"
"Fields information has been successfully updated","Fields information has been successfully updated"
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
Checkout,Checkout
"Customer is already registered","Customer is already registered"
"Your session has expired","Your session has expired"
"Registration: A letter with further instructions will be sent to your email.","Registration: A letter with further instructions will be sent to your email."
"Something went wrong with the registration.","Something went wrong with the registration."
"Unsaved changes will be discarded.","Unsaved changes will be discarded."
"Please, select a static block","Please, select a static block"
"Below the selected payment method","Below the selected payment method"
"Below the Order Total","Below the Order Total"
"Could not save the fee: %1","Could not save the fee: %1"
"Fee with id ""%1"" does not exist.","Fee with id ""%1"" does not exist."
"Could not delete the fee: %1","Could not delete the fee: %1"
"To configure which customer attributes will be required to checkout please check settings at Stores > Configuration > Customers > Customer Configuration > Name and Address Options","To configure which customer attributes will be required to checkout please check settings at Stores > Configuration > Customers > Customer Configuration > Name and Address Options"
"To configure Postcode requirement for certain countries please check settings at Stores > Configuration > General > General > Country Options","To configure Postcode requirement for certain countries please check settings at Stores > Configuration > General > General > Country Options"
"To configure State requirement for certain countries please check settings at Stores > Configuration > General > General > State Options","To configure State requirement for certain countries please check settings at Stores > Configuration > General > General > State Options"
"Whole Order","Whole Order"
"Gift Message for %1 (optional)","Gift Message for %1 (optional)"
"We can't find the quote item.","We can't find the quote item."
Additional,Additional
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Need more custom fields? Please consider 
    <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension","Need more custom fields? Please consider 
    <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension"
"Delivery Information","Delivery Information"
Field,Field
Label,Label
"Default Value","Default Value"
Width,Width
Required,Required
"Drop fields here","Drop fields here"
label,label
Loading...,Loading...
"Order details:","Order details:"
"Order Date:","Order Date:"
Comments,Comments
"Items Ordered","Items Ordered"
"Gift Message for This Order","Gift Message for This Order"
From,From
To,To
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
"Choose an Option...","Choose an Option..."
"Delivery Date Info","Delivery Date Info"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
Qty,Qty
"View Details","View Details"
"Options Details","Options Details"
Update,Update
[edit],[edit]
To:,To:
From:,From:
